name,use
Jigsaw,Cuts intricate curved patterns
Impact Wrench,Tightens fasteners with high force
Orbital Sander,Smooths surfaces with circular motion
Belt Sander,Smooths large wood areas quickly
Brad Nailer,Drives small brad nails
Finish Nailer,Drives finish nails neatly
Framing Nailer,Drives large framing nails quickly
Staple Gun,Drives staples into wood
Nail Gun,Drives various nails automatically
Caulking Gun,Applies caulk and sealant
Grease Gun,Applies lubricating grease to machinery
Paint Roller,Applies paint to large surfaces
Paint Brush,Applies paint to detailed areas
Paint Sprayer,Sprays paint evenly on surfaces
Wallpaper Brush,Smooths wallpaper during installation
Drywall Taping Knife,Applies compound to joints
Putty Knife,Scrapes and smooths surfaces
Caulk Smoother,Smooths caulk after application
